Commodity,Volatility,Modal_Price,Risk_Index
Kakada,5000.0,52500.0,0.09523809523809523
Jasmine,5000.0,37500.0,0.13333333333333333
Grapes,1200.0,9640.0,0.10610526315789474
Pomegranate,1166.6666666666667,12900.0,0.1060132945378847
Apple,1083.3333333333333,14766.666666666666,0.076389482712604
Orange,1066.6666666666667,9866.666666666666,0.10301978723031353
Mashrooms,1000.0,20750.0,0.04717569252452973
Galgal(Lemon),1000.0,11500.0,0.08695652173913043
Lime,1000.0,9444.444444444445,0.08644226056978367
Lemon,939.3939393939394,10303.030303030304,0.0939663002118454
