State,District,Modal_Price,Volatility
Bihar,Rohtas,1100.0,200.0
Himachal Pradesh,Kangra,6302.5,430.0
Kerala,Ernakulam,4100.0,150.0
Kerala,Kottayam,4119.23,230.77
Kerala,Pathanamthitta,2800.0,300.0
Madhya Pradesh,Chhatarpur,2300.0,0.0
Madhya Pradesh,Dhar,2200.0,50.0
Madhya Pradesh,Mandla,2005.0,5.0
Odisha,Bargarh,1560.0,400.0
Punjab,Amritsar,1000.5,0.0
Punjab,Tarntaran,2620.0,0.0
Rajasthan,Jalore,2530.77,423.08
Tamil Nadu,Chengalpattu,4367.92,688.68
Tamil Nadu,Dharmapuri,3882.43,543.24
Tamil Nadu,Kallakuruchi,5272.73,34.09
Tamil Nadu,Kancheepuram,1900.0,200.0
Tamil Nadu,Nagercoil (Kannyiakumari),6239.1,614.1
Tamil Nadu,Ranipet,3884.67,220.0
Tamil Nadu,Salem,5381.36,606.78
Tamil Nadu,The Nilgiris,4532.28,545.57
Tamil Nadu,Theni,3767.31,424.36
Tamil Nadu,Thiruchirappalli,4313.33,203.81
Tamil Nadu,Thirupathur,3862.82,325.64
Tamil Nadu,Thirupur,4021.31,618.58
Tamil Nadu,Vellore,3998.33,68.67
Tamil Nadu,Virudhunagar,4298.14,645.96
Uttar Pradesh,Mau(Maunathbhanjan),3000.0,0.0
Uttarakhand,Dehradoon,2306.67,580.0
West Bengal,Paschim Bardhaman,5365.38,233.08
