Commodity,Volatility
Kakada,5000.0
Jasmine,5000.0
Grapes,1200.0
Pomegranate,1166.6666666666667
Apple,1083.3333333333333
Orange,1066.6666666666667
Mashrooms,1000.0
Galgal(Lemon),1000.0
Lime,1000.0
Lemon,939.3939393939394
Tamarind Fruit,833.3333333333334
Soyabean,833.3333333333334
Garlic,810.0
Turnip,666.6666666666666
Mango(Raw-Ripe),617.6470588235294
Banana,585.5263157894736
Beans,560.6060606060606
Amla(Nelli Kai),541.6666666666666
Green Avare(W),535.2941176470588
Mango,500.0
Betal Leaves,500.0
Tinda,500.0
Rose(Local),500.0
Marigold(Calcutta),500.0
Drumstick,483.3333333333333
Green Chilli,460.0
Guava,445.8333333333333
Coconut,437.14285714285717
Elephant Yam(Suran)/Amorphophallus,430.0
Ridgeguard(Tori),425.80645161290323
Beetroot,422.22222222222223
Banana - Green,411.1111111111111
Ginger(Green),408.8235294117647
Pineapple,400.0
Field Pea,400.0
Bhindi(Ladies Finger),374.35897435897436
Cluster beans,370.0
Tender Coconut,366.6666666666667
Coriander(Leaves),362.5
Bitter gourd,360.5263157894737
Papaya,359.375
Yam(Ratalu),352.94117647058823
Brinjal,352.3255813953488
Capsicum,350.0
Green Peas,341.6666666666667
Carrot,341.1764705882353
Cauliflower,337.14285714285717
Karbuja(Musk Melon),333.3333333333333
Potato,332.97297297297297
Chikoos(Sapota),331.57894736842104
Onion Green,325.80645161290323
Amaranthus,323.52941176470586
Bottle gourd,319.5121951219512
Water Melon,316.6666666666667
Arhar Dal(Tur Dal),315.0
Cucumbar(Kheera),313.04347826086956
Peas(Dry),300.0
Onion,293.9024390243902
Mint(Pudina),283.8709677419355
Snakeguard,281.8181818181818
Chow Chow,280.7692307692308
Raddish,278.7878787878788
Cabbage,275.75757575757575
Tomato,269.04761904761904
Mousambi(Sweet Lime),266.6666666666667
Colacasia,260.0
Ashgourd,256.6666666666667
Thondekai,256.25
Cowpea(Veg),255.55555555555554
Tapioca,250.0
Green Gram Dal(Moong Dal),250.0
Knool Khol,237.5
Pumpkin,233.33333333333334
Masur Dal,210.0
Rice,210.0
Paddy(Common),200.0
Sweet Pumpkin,200.0
Kinnow,200.0
French Beans(Frasbean),200.0
Mustard,200.0
Indian Beans(Seam),171.42857142857142
Sweet Potato,161.53846153846155
Peas Wet,100.0
Wheat,70.0
Groundnut,62.5
Arhar(Tur/Red Gram)(Whole),0.0
Pea Pod/Pea Cod/हरी मटर,0.0
